wallet_address,chain,pnl_30d,realized_pnl_30d,unrealized_pnl_30d,win_rate,trade_count_30d,avg_trade_size_usd,tags,source
CqjNf3EyEiqVG6tesZ93TVyhFMtrkekQsDnqVmF,SOLANA,41200,33800,7400,0.7,44,1400,smart_money|nova-funder,csv
rb5UesLcXapZEx8fRRtojSSZ8fmwx6LjM1ZLV4ei5CVs,SOLANA,7100,5200,1900,0.4,11,420,unknown|seed-fresh,csv
cSwzNCLsLndiACrgcTxLuPULdRBaySPyyD,SOLANA,6400,4700,1700,0.38,9,390,unknown|seed-fresh,csv
RcEcHLgziMv27f5kHif3fJ1cx9R9Nic25p7k1MB3,SOLANA,8600,6300,2300,0.43,13,460,unknown|seed-fresh,csv
vrNTot5Wfw5u92dWx1q6LsJpFRYQwnQt36ttmhFaYAdk,SOLANA,36800,29500,7300,0.69,38,1150,smart_money|seed-funder,csv
qonDeH2BdAJLsbzZxM11F6RrgS313iPv4jktnbGhRxf,SOLANA,25100,19700,5400,0.6,28,880,smart_money|alpha-source,csv
0x4e2e991b037e0d0d9a0f4cdf73b7c5ca0092c044,BSC,20300,15900,4400,0.56,24,830,bridge_related|beta-dest,csv
ZvFtETTEYqpL2bKdLbJvRvXyNmad6cCREZ,SOLANA,14700,11000,3700,0.52,20,600,smart_money|dump-buyer,csv
12PmHsuzFQK7N7CqH9srtw2QaUH3oL8gcsPYqqMXrr,SOLANA,16200,12100,4100,0.54,22,640,smart_money|dump-buyer,csv
NYY7jPZy4xSRLCLwQuYauHWjQ7u4FX69L7xQZQD1C,SOLANA,11900,8900,3000,0.46,17,530,smart_money|dump-buyer,csv
wLkF2f5cUCd77XANU9ZJeXxQmZMt24KP78QrQK1Rd,SOLANA,19100,14400,4700,0.58,25,710,smart_money|dump-buyer,csv
LNtrmGuPASj15Xi1CgzgZdA39W4xBKKrY1fYRcsY,SOLANA,9500,7000,2500,0.42,15,490,smart_money|dump-buyer,csv
1oMgtCALRFHSmJ1YJ1C8VJoxFDQNxPGpSEUA,SOLANA,23400,18300,5100,0.6,27,750,smart_money|dump-buyer,csv
GJb1pqsQMBbbBHxf9xz63VyxUGxa4CnzYoodMpS,SOLANA,13600,10100,3500,0.5,19,570,smart_money|dump-buyer,csv
t57c3s1FaAeeNqsc2bBnzsp2gt9mR4YPJadX9SCChPJ,SOLANA,17500,13100,4400,0.55,23,660,smart_money|dump-buyer,csv
wb9BnftgeLvUXH26fgtt6tru5gKxY9Cyez,SOLANA,10700,8000,2700,0.44,16,500,smart_money|dump-buyer,csv
LWuugGe4JM3aTj4DkW2tWj1PJdACeRmsWJQab,SOLANA,20800,16300,4500,0.57,24,690,smart_money|dump-buyer,csv
EUnVUi71RGfY2FHT63hjfGmMizpe5BjY9C9EViZTrCD9,SOLANA,5200,3800,1400,0.37,9,340,unknown|graph-demo-depth1,csv
Y9iUPEs8v8h1NN3gAvbeABW8Yn3NncMwFybX,SOLANA,6800,5000,1800,0.39,10,380,unknown|graph-demo-chain-b,csv
